# edges.csv  –  CMapNav sample city road network
# Format: from_id,to_id,distance_km,road_name,speed_limit,road_type
# road_type: 0=highway, 1=arterial, 2=local
# Each direction is listed explicitly.
from_id,to_id,distance_km,road_name,speed_limit,road_type
# --- City Centre connections (node 0) ---
0,1,0.4,MG Road,60,1
1,0,0.4,MG Road,60,1
0,10,1.5,Rajiv Boulevard,60,1
10,0,1.5,Rajiv Boulevard,60,1
0,24,0.9,Bus Station Road,50,1
24,0,0.9,Bus Station Road,50,1
0,49,0.5,Park Avenue,40,2
49,0,0.5,Park Avenue,40,2
0,50,0.4,Town Hall Street,40,2
50,0,0.4,Town Hall Street,40,2
# --- North spine MG Road (1→2→3→4→5→6→7) ---
1,2,0.5,MG Road North,60,1
2,1,0.5,MG Road North,60,1
2,3,0.4,University Road,50,1
3,2,0.4,University Road,50,1
3,4,0.5,Research Drive,50,2
4,3,0.5,Research Drive,50,2
4,5,0.6,Lake Road,50,2
5,4,0.6,Lake Road,50,2
5,6,0.7,Botanical Road,40,2
6,5,0.7,Botanical Road,40,2
6,7,0.7,Western Bypass,100,0
7,6,0.7,Western Bypass,100,0
# --- Eastern corridor to Airport ---
3,8,1.1,Airport Access Road,70,1
8,3,1.1,Airport Access Road,70,1
8,9,1.0,Industrial North Road,60,1
9,8,1.0,Industrial North Road,60,1
8,28,0.8,Airport Link,90,0
28,8,0.8,Airport Link,90,0
28,29,1.5,Airport Expressway,100,0
29,28,1.5,Airport Expressway,100,0
# --- Western Bypass Highway (7→13→38) ---
7,11,1.2,Western Bypass,100,0
11,7,1.2,Western Bypass,100,0
11,12,0.7,NH 48,100,0
12,11,0.7,NH 48,100,0
12,13,0.6,NH 48,100,0
13,12,0.6,NH 48,100,0
13,38,1.8,Outer Ring Road,120,0
38,13,1.8,Outer Ring Road,120,0
# --- Eastern Riverside road (18→19→20→21→22→23) ---
18,19,0.6,Old Town Road,40,2
19,18,0.6,Old Town Road,40,2
19,20,0.7,Riverside Drive,50,1
20,19,0.7,Riverside Drive,50,1
20,21,0.8,River Road,50,1
21,20,0.8,River Road,50,1
21,22,1.0,Industrial Road East,60,1
22,21,1.0,Industrial Road East,60,1
22,23,0.9,Freight Road,60,1
23,22,0.9,Freight Road,60,1
# --- Tech Park cluster ---
14,15,0.5,IT Boulevard,60,1
15,14,0.5,IT Boulevard,60,1
15,16,0.6,Sarojini Avenue,50,2
16,15,0.6,Sarojini Avenue,50,2
16,17,0.5,Greenfield Road,40,2
17,16,0.5,Greenfield Road,40,2
14,39,0.8,Science Park Drive,60,1
39,14,0.8,Science Park Drive,60,1
39,40,0.4,Observatory Lane,40,2
40,39,0.4,Observatory Lane,40,2
# --- Hospital zone ---
25,26,0.4,Hospital Road,40,2
26,25,0.4,Hospital Road,40,2
26,27,0.5,Medical College Avenue,40,2
27,26,0.5,Medical College Avenue,40,2
27,28,0.7,Airport Road,80,1
28,27,0.7,Airport Road,80,1
# --- Southern Civic zone ---
30,31,0.6,Sports Road,50,2
31,30,0.6,Sports Road,50,2
31,32,0.4,Stadium Road,40,2
32,31,0.4,Stadium Road,40,2
32,33,0.5,Police Road,40,2
33,32,0.5,Police Road,40,2
33,34,0.6,Court Road,40,2
34,33,0.6,Court Road,40,2
34,35,0.5,Government Boulevard,40,2
35,34,0.5,Government Boulevard,40,2
35,36,0.6,Bus Depot Lane,40,2
36,35,0.6,Bus Depot Lane,40,2
36,37,0.7,Residential West,30,2
37,36,0.7,Residential West,30,2
37,38,1.2,Outer Highway West,80,1
38,37,1.2,Outer Highway West,80,1
# --- Link roads connecting zones ---
0,30,1.1,Inner Circle Road,50,1
30,0,1.1,Inner Circle Road,50,1
10,30,0.9,Connect Road West,50,1
30,10,0.9,Connect Road West,50,1
10,11,0.9,NH 48 Access,80,0
11,10,0.9,NH 48 Access,80,0
